Vacancy_Record_ID,Position_ID,Position_Title,Department_ID,Department_Name,Organizational_Unit_ID,Vacancy_Start_Date,Vacancy_End_Date,Vacancy_Status,Vacancy_Age_in_Days,Budgeted_Position,Position_Criticality,Recruitment_Stage,Target_Fill_Date,Vacancy_Reason,Expected_Time_to_Fill_in_Days,Actual_Time_to_Fill_in_Days,Data_As_Of_Date
VACANCY-0001,POS-705,Accounts Assistant,DEPARTMENT-002,Finance,ORGANIZATIONAL-UNIT-FIN,2025-09-01,,Currently Open,334,Yes,Medium,Offer Stage,2026-01-29,Employee resignation,150,,2026-08-01
VACANCY-0002,POS-706,Financial Analyst,DEPARTMENT-002,Finance,ORGANIZATIONAL-UNIT-FIN,2026-06-01,,Currently Open,61,No,Medium,Sourcing Candidates,2026-10-29,New approved position,150,,2026-08-01
VACANCY-0003,POS-707,Senior Financial Analyst,DEPARTMENT-002,Finance,ORGANIZATIONAL-UNIT-FIN,2025-04-01,,Currently Open,487,Yes,High,Offer Stage,2025-07-30,Retirement,120,,2026-08-01
VACANCY-0004,POS-708,Sales Representative,DEPARTMENT-003,Sales,ORGANIZATIONAL-UNIT-SAL,2025-02-01,,Currently Open,546,Yes,Medium,Offer Stage,2025-07-01,Internal transfer,150,,2026-08-01
VACANCY-0005,POS-709,Account Executive,DEPARTMENT-003,Sales,ORGANIZATIONAL-UNIT-SAL,2025-07-01,,Currently Open,396,Yes,Medium,Offer Stage,2025-11-28,Employee resignation,150,,2026-08-01
VACANCY-0006,POS-710,Senior Account Manager,DEPARTMENT-003,Sales,ORGANIZATIONAL-UNIT-SAL,2025-05-01,,Currently Open,457,Yes,High,Offer Stage,2025-08-29,New approved position,120,,2026-08-01
VACANCY-0007,POS-711,Sales Representative,DEPARTMENT-003,Sales,ORGANIZATIONAL-UNIT-SAL,2025-03-01,,Currently Open,518,Yes,Medium,Offer Stage,2025-07-29,Employee resignation,150,,2026-08-01
VACANCY-0008,POS-712,Account Executive,DEPARTMENT-003,Sales,ORGANIZATIONAL-UNIT-SAL,2025-08-01,,Currently Open,365,No,Medium,Offer Stage,2025-12-29,Employee resignation,150,,2026-08-01
VACANCY-0009,POS-713,Sales Manager,DEPARTMENT-003,Sales,ORGANIZATIONAL-UNIT-SAL,2026-06-01,,Currently Open,61,Yes,High,Sourcing Candidates,2026-09-29,Employee resignation,120,,2026-08-01
VACANCY-0010,POS-714,Sales Representative,DEPARTMENT-003,Sales,ORGANIZATIONAL-UNIT-SAL,2025-09-01,,Currently Open,334,No,Medium,Position Frozen,2026-01-29,Workforce expansion,150,,2026-08-01
VACANCY-0011,POS-715,Customer Support Representative,DEPARTMENT-004,Customer Support,ORGANIZATIONAL-UNIT-CS,2025-12-01,,Currently Open,243,Yes,Medium,Offer Stage,2026-04-30,Workforce expansion,150,,2026-08-01
VACANCY-0012,POS-716,Customer Support Specialist,DEPARTMENT-004,Customer Support,ORGANIZATIONAL-UNIT-CS,2026-06-01,,Currently Open,61,Yes,Medium,Sourcing Candidates,2026-10-29,Retirement,150,,2026-08-01
VACANCY-0013,POS-717,Senior Customer Support Specialist,DEPARTMENT-004,Customer Support,ORGANIZATIONAL-UNIT-CS,2026-02-01,,Currently Open,181,Yes,High,Offer Stage,2026-06-01,Employee resignation,120,,2026-08-01
VACANCY-0014,POS-718,Customer Support Representative,DEPARTMENT-004,Customer Support,ORGANIZATIONAL-UNIT-CS,2025-11-01,,Currently Open,273,Yes,Medium,Offer Stage,2026-03-31,Retirement,150,,2026-08-01
VACANCY-0015,POS-719,Customer Support Specialist,DEPARTMENT-004,Customer Support,ORGANIZATIONAL-UNIT-CS,2026-02-01,,Currently Open,181,No,Medium,Offer Stage,2026-07-01,Retirement,150,,2026-08-01
VACANCY-0016,POS-720,Junior Software Engineer,DEPARTMENT-005,Engineering,ORGANIZATIONAL-UNIT-ENG,2026-04-01,,Currently Open,122,Yes,Medium,Interview Stage,2026-08-29,Workforce expansion,150,,2026-08-01
VACANCY-0017,POS-721,Software Engineer,DEPARTMENT-005,Engineering,ORGANIZATIONAL-UNIT-ENG,2025-10-01,,Currently Open,304,Yes,Medium,Offer Stage,2026-02-28,Employee resignation,150,,2026-08-01
VACANCY-0018,POS-722,Senior Software Engineer,DEPARTMENT-005,Engineering,ORGANIZATIONAL-UNIT-ENG,2025-05-01,,Currently Open,457,Yes,High,Offer Stage,2025-08-29,Retirement,120,,2026-08-01
VACANCY-0019,POS-723,Junior Software Engineer,DEPARTMENT-005,Engineering,ORGANIZATIONAL-UNIT-ENG,2025-07-01,,Currently Open,396,Yes,Medium,Offer Stage,2025-11-28,Workforce expansion,150,,2026-08-01
VACANCY-0020,POS-724,Software Engineer,DEPARTMENT-005,Engineering,ORGANIZATIONAL-UNIT-ENG,2026-04-01,,Currently Open,122,No,Medium,Interview Stage,2026-08-29,New approved position,150,,2026-08-01
VACANCY-0021,POS-725,Engineering Manager,DEPARTMENT-005,Engineering,ORGANIZATIONAL-UNIT-ENG,2026-07-01,,Currently Open,31,Yes,High,Sourcing Candidates,2026-10-29,New approved position,120,,2026-08-01
VACANCY-0022,POS-726,Junior Software Engineer,DEPARTMENT-005,Engineering,ORGANIZATIONAL-UNIT-ENG,2026-05-01,,Currently Open,92,No,Medium,Position Frozen,2026-09-28,Employee resignation,150,,2026-08-01
VACANCY-0023,POS-727,Software Engineer,DEPARTMENT-005,Engineering,ORGANIZATIONAL-UNIT-ENG,2026-06-01,,Currently Open,61,No,Medium,Sourcing Candidates,2026-10-29,Employee resignation,150,,2026-08-01
VACANCY-0024,POS-728,Senior Software Engineer,DEPARTMENT-005,Engineering,ORGANIZATIONAL-UNIT-ENG,2026-06-01,,Currently Open,61,Yes,High,Sourcing Candidates,2026-09-29,Workforce expansion,120,,2026-08-01
VACANCY-0025,POS-729,Operations Assistant,DEPARTMENT-006,Operations,ORGANIZATIONAL-UNIT-OPS,2025-09-01,,Currently Open,334,Yes,Medium,Offer Stage,2026-01-29,Internal transfer,150,,2026-08-01
VACANCY-0026,POS-730,Operations Officer,DEPARTMENT-006,Operations,ORGANIZATIONAL-UNIT-OPS,2025-06-01,,Currently Open,426,Yes,Medium,Offer Stage,2025-10-29,Internal transfer,150,,2026-08-01
VACANCY-0027,POS-731,Senior Operations Officer,DEPARTMENT-006,Operations,ORGANIZATIONAL-UNIT-OPS,2026-01-01,,Currently Open,212,Yes,High,Offer Stage,2026-05-01,Retirement,120,,2026-08-01
VACANCY-0028,POS-732,Operations Assistant,DEPARTMENT-006,Operations,ORGANIZATIONAL-UNIT-OPS,2025-04-01,,Currently Open,487,No,Medium,Offer Stage,2025-08-29,Internal transfer,150,,2026-08-01
VACANCY-0029,POS-733,Operations Officer,DEPARTMENT-006,Operations,ORGANIZATIONAL-UNIT-OPS,2025-08-01,,Currently Open,365,No,Medium,Offer Stage,2025-12-29,Workforce expansion,150,,2026-08-01
VACANCY-0030,POS-734,Operations Manager,DEPARTMENT-006,Operations,ORGANIZATIONAL-UNIT-OPS,2026-04-01,,Currently Open,122,Yes,High,Interview Stage,2026-07-30,Retirement,120,,2026-08-01
VACANCY-0031,POS-735,IT Support Technician,DEPARTMENT-007,IT,ORGANIZATIONAL-UNIT-IT,2025-03-01,,Currently Open,518,Yes,Medium,Offer Stage,2025-07-29,Workforce expansion,150,,2026-08-01
VACANCY-0032,POS-736,Systems Administrator,DEPARTMENT-007,IT,ORGANIZATIONAL-UNIT-IT,2025-03-01,,Currently Open,518,Yes,Medium,Offer Stage,2025-07-29,Workforce expansion,150,,2026-08-01
VACANCY-0033,POS-737,Senior Systems Engineer,DEPARTMENT-007,IT,ORGANIZATIONAL-UNIT-IT,2025-10-01,,Currently Open,304,Yes,High,Offer Stage,2026-01-29,Employee resignation,120,,2026-08-01
VACANCY-0034,POS-738,IT Support Technician,DEPARTMENT-007,IT,ORGANIZATIONAL-UNIT-IT,2025-05-01,,Currently Open,457,No,Medium,Offer Stage,2025-09-28,New approved position,150,,2026-08-01
VACANCY-0035,POS-739,Junior Medical Officer,DEPARTMENT-008,Medical Care,ORGANIZATIONAL-UNIT-MED,2025-02-01,,Currently Open,546,Yes,High,Offer Stage,2025-06-01,Workforce expansion,120,,2026-08-01
VACANCY-0036,POS-740,Medical Officer,DEPARTMENT-008,Medical Care,ORGANIZATIONAL-UNIT-MED,2026-01-01,,Currently Open,212,Yes,High,Offer Stage,2026-05-01,Employee resignation,120,,2026-08-01
VACANCY-0037,POS-741,Senior Medical Officer,DEPARTMENT-008,Medical Care,ORGANIZATIONAL-UNIT-MED,2025-08-01,,Currently Open,365,Yes,High,Offer Stage,2025-11-29,Internal transfer,120,,2026-08-01
VACANCY-0038,POS-742,Junior Medical Officer,DEPARTMENT-008,Medical Care,ORGANIZATIONAL-UNIT-MED,2025-05-01,,Currently Open,457,Yes,High,Offer Stage,2025-08-29,Workforce expansion,120,,2026-08-01
VACANCY-0039,POS-743,Medical Officer,DEPARTMENT-008,Medical Care,ORGANIZATIONAL-UNIT-MED,2025-08-01,,Currently Open,365,Yes,High,Offer Stage,2025-11-29,Workforce expansion,120,,2026-08-01
VACANCY-0040,POS-744,Medical Care Manager,DEPARTMENT-008,Medical Care,ORGANIZATIONAL-UNIT-MED,2025-12-01,,Currently Open,243,Yes,High,Offer Stage,2026-03-31,Retirement,120,,2026-08-01
VACANCY-0041,POS-745,Junior Medical Officer,DEPARTMENT-008,Medical Care,ORGANIZATIONAL-UNIT-MED,2025-12-01,,Currently Open,243,Yes,High,Position Frozen,2026-03-31,Employee resignation,120,,2026-08-01
VACANCY-0042,POS-746,Medical Officer,DEPARTMENT-008,Medical Care,ORGANIZATIONAL-UNIT-MED,2026-06-01,,Currently Open,61,No,High,Sourcing Candidates,2026-09-29,Employee resignation,120,,2026-08-01
