Process_Code,Process_Name,Process_Group,Purpose,Why_Kept,Existing_Data_Reused,Execution_Mode,Core_Impact,Requires_Effective_Date,Form_Field_Count,Sort_Order
PROB_CONFIRM,Probation Confirmation,ENTRY,Confirm a probationary employee into active service after review.,Directly uses the existing Probation status and closes a core employee lifecycle gap.,Employee_Profile.Employee_Status; Hire_Date; Manager_Employee_ID; Employee_Performance_Summary; Employee_Attendance,APPLY_CORE_ON_EFFECTIVE_DATE,Employee_Status: Probation -> Active,Yes,4,1
PROB_EXTEND,Probation Extension,ENTRY,Extend probation for a defined review period with a recorded reason.,Required companion action when confirmation is not yet appropriate.,Employee_Profile.Employee_Status; Hire_Date; Manager_Employee_ID; performance and attendance signals,UPDATE_OPERATIONAL_STATE,Employee remains Probation; operational probation end date changes,Yes,5,2
CONTRACT_RENEW,Contract Renewal / Extension,ENTRY,Renew or extend an existing contract without changing the employee master structure.,79 current employees are Contract employees in the existing dataset.,Employee_Profile.Employment_Type; Hire_Date; Employee_Assignment_History,UPDATE_OPERATIONAL_STATE,Contract end date / renewal history only,Yes,5,3
REHIRE,Rejoining / Rehire,ENTRY,Return a former employee to active service through a controlled rehire action.,Completes the entry lifecycle without adding a recruitment/onboarding module; useful for returning known employees.,Employee_Profile; current department/position; hire and assignment history; performance signals,APPLY_CORE_ON_EFFECTIVE_DATE,Open/restore assignment on effective date; employee becomes Active; movement/action history recorded,Yes,6,4
CONTRACT_END,Contract End / Non-renewal,EXIT,Record a decision not to renew a fixed-term contract and schedule the employee exit.,Required companion to contract renewal; prevents every expiring contract from being treated as a renewal.,Employee_Profile.Employment_Type; Employee_HR_Operational_State.Contract_Current_End_Date; performance; attrition reference,APPLY_CORE_ON_EFFECTIVE_DATE,On effective date: close assignment; mark contract ended; make position vacant; headcount -1,Yes,5,5
RESIGNATION,Resignation,EXIT,Record employee notice and schedule a voluntary exit.,Required for functional lifecycle logic: final exit will reduce headcount and return the position to vacant.,Employee_Profile; attrition reference; engagement; manager relationship; historical leave-reason patterns,APPLY_CORE_ON_EFFECTIVE_DATE,"On effective date: close assignment, mark employee left, make position vacant, headcount -1",Yes,5,6
RESIGN_WITHDRAW,Resignation Withdrawal,EXIT,Cancel an employee resignation before its effective exit date.,Required reversal action for a functional resignation workflow and prevents incorrect future headcount reduction.,Existing scheduled Resignation action records; employee operational notice state,UPDATE_OPERATIONAL_STATE,Cancel scheduled resignation; employee remains Active/Probation; position remains filled,Yes,5,7
RETIREMENT,Retirement,EXIT,Schedule and record planned retirement.,Core workforce planning event that affects future headcount and vacancy forecasting.,Employee_Profile; Employee_Experience; generated operational DOB/retirement date only in new isolated data,APPLY_CORE_ON_EFFECTIVE_DATE,"On effective date: close assignment, mark retired, make position vacant, headcount -1",Yes,4,8
TERMINATION,Termination,EXIT,Record an employer-initiated separation with a controlled effective date and reason.,Necessary lifecycle action for a functional HR operations layer; intentionally kept minimal.,Employee_Profile; Employee_Performance_Summary; Employee_Attendance,APPLY_CORE_ON_EFFECTIVE_DATE,"On effective date: close assignment, mark left, make position vacant, headcount -1",Yes,5,9
FINAL_SETTLEMENT,Final Settlement,EXIT,Track HR clearance and settlement completion after an approved employee separation.,The reference product exposes final settlement as a direct HR action; this minimal version records workflow status without duplicating payroll calculations.,Existing Resignation/Retirement/Termination/Contract End action records; employee profile,UPDATE_OPERATIONAL_STATE,No additional headcount change; records settlement/clearance status against the separation,Yes,6,10
PROMOTION,Promotion,MOVEMENT,Move an eligible employee into a higher-level approved vacant position.,"Connects existing performance, mobility readiness, positions and workforce movement capabilities.",Employee_Profile; Employee_Performance_Summary; Employee_Experience; Position_Master; Workforce_Movement_History patterns,APPLY_CORE_ON_EFFECTIVE_DATE,Close old assignment; open target assignment; update position/designation/job level; create movement record,Yes,5,11
TRANSFER,Employee Transfer,MOVEMENT,Transfer an employee to another department/organizational unit/position.,Directly supports the required branch/department movement logic and headcount impact.,Employee_Profile; Employee_Experience; Position_Master; Department_Master; movement history patterns,APPLY_CORE_ON_EFFECTIVE_DATE,Source headcount -1; target headcount +1; close/open assignment; create movement record,Yes,6,12
ACTING_CHARGE,Acting / Additional Charge,MOVEMENT,Temporarily assign responsibility for another position while keeping the employee primary assignment unchanged.,Useful operational movement without corrupting permanent headcount or assignment history.,Employee_Profile; Position_Master vacant approved positions; performance; mobility readiness,UPDATE_OPERATIONAL_STATE,Primary position/headcount unchanged; temporary acting responsibility recorded,Yes,7,13
DEMOTION,Demotion,MOVEMENT,Move an employee to a lower-level approved position with a controlled effective date and reason.,Completes essential movement actions alongside promotion and transfer; kept minimal and auditable.,Employee_Profile; Employee_Performance_Summary; Employee_Attendance; Position_Master,APPLY_CORE_ON_EFFECTIVE_DATE,Close current assignment; fill lower-level target position; current position becomes vacant; total headcount unchanged,Yes,5,14
SECONDMENT,Deputation / Secondment,MOVEMENT,Temporarily place an employee in another unit or position for a defined period.,Supports temporary cross-unit movement without incorrectly treating it as permanent transfer or exit.,Employee_Profile; Position_Master; Department_Master; mobility readiness; movement history patterns,UPDATE_OPERATIONAL_STATE,Home assignment retained; temporary host placement recorded; organization total headcount unchanged,Yes,7,15
