Performance_Template_ID,Department_ID,Department,Role_Band,KPI_ID,KPI_Name,KPI_Group,KPI_Weight_pct,Measurement_Scope,Scoring_Direction,Floor_Value,Target_Value,Stretch_Value,Mandatory_Flag,Critical_KPI_Flag,Effective_Start_Date,Effective_End_Date,Active_Status
PT-HR-INTERN,DEPARTMENT-001,HR,Intern/Trainee,KPI-HR-001,HR Service and Recruitment Target Achievement,OUTPUT,15,Individual,HIGHER_BETTER,70,100,115,Yes,No,2025-09-01,,Active
PT-HR-INTERN,DEPARTMENT-001,HR,Intern/Trainee,KPI-HR-002,HR Data and Payroll Accuracy,QUALITY,15,Individual,HIGHER_BETTER,97,99.5,100,Yes,No,2025-09-01,,Active
PT-HR-INTERN,DEPARTMENT-001,HR,Intern/Trainee,KPI-HR-003,Employee Case Resolution Time,EFFICIENCY,10,Individual,LOWER_BETTER,10,5,2,Yes,No,2025-09-01,,Active
PT-HR-INTERN,DEPARTMENT-001,HR,Intern/Trainee,KPI-COM-ATT,Attendance and Punctuality,ATTENDANCE,15,Individual,HIGHER_BETTER,90.0,95.0,99.0,Yes,No,2025-09-01,,Active
PT-HR-INTERN,DEPARTMENT-001,HR,Intern/Trainee,KPI-COM-RESP,Responsibility and Deadline Discipline,RESPONSIBILITY,15,Individual,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-HR-INTERN,DEPARTMENT-001,HR,Intern/Trainee,KPI-COM-TEAM,Teamwork and Professional Communication,TEAMWORK,10,Individual,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-HR-INTERN,DEPARTMENT-001,HR,Intern/Trainee,KPI-COM-LEARN,Learning and Adaptability,LEARNING,20,Individual,HIGHER_BETTER,60.0,82.0,95.0,Yes,No,2025-09-01,,Active
PT-HR-JUNIOR,DEPARTMENT-001,HR,Junior/Assistant,KPI-HR-001,HR Service and Recruitment Target Achievement,OUTPUT,25,Individual,HIGHER_BETTER,70,100,115,Yes,No,2025-09-01,,Active
PT-HR-JUNIOR,DEPARTMENT-001,HR,Junior/Assistant,KPI-HR-002,HR Data and Payroll Accuracy,QUALITY,20,Individual,HIGHER_BETTER,97,99.5,100,Yes,No,2025-09-01,,Active
PT-HR-JUNIOR,DEPARTMENT-001,HR,Junior/Assistant,KPI-HR-003,Employee Case Resolution Time,EFFICIENCY,15,Individual,LOWER_BETTER,10,5,2,Yes,No,2025-09-01,,Active
PT-HR-JUNIOR,DEPARTMENT-001,HR,Junior/Assistant,KPI-COM-ATT,Attendance and Punctuality,ATTENDANCE,10,Individual,HIGHER_BETTER,90.0,95.0,99.0,Yes,No,2025-09-01,,Active
PT-HR-JUNIOR,DEPARTMENT-001,HR,Junior/Assistant,KPI-COM-RESP,Responsibility and Deadline Discipline,RESPONSIBILITY,10,Individual,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-HR-JUNIOR,DEPARTMENT-001,HR,Junior/Assistant,KPI-COM-TEAM,Teamwork and Professional Communication,TEAMWORK,10,Individual,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-HR-JUNIOR,DEPARTMENT-001,HR,Junior/Assistant,KPI-COM-LEARN,Learning and Adaptability,LEARNING,10,Individual,HIGHER_BETTER,60.0,82.0,95.0,Yes,No,2025-09-01,,Active
PT-HR-PROFESSIONAL,DEPARTMENT-001,HR,Professional/Mid-level,KPI-HR-001,HR Service and Recruitment Target Achievement,OUTPUT,30,Individual,HIGHER_BETTER,70,100,115,Yes,No,2025-09-01,,Active
PT-HR-PROFESSIONAL,DEPARTMENT-001,HR,Professional/Mid-level,KPI-HR-002,HR Data and Payroll Accuracy,QUALITY,25,Individual,HIGHER_BETTER,97,99.5,100,Yes,No,2025-09-01,,Active
PT-HR-PROFESSIONAL,DEPARTMENT-001,HR,Professional/Mid-level,KPI-HR-003,Employee Case Resolution Time,EFFICIENCY,20,Individual,LOWER_BETTER,10,5,2,Yes,No,2025-09-01,,Active
PT-HR-PROFESSIONAL,DEPARTMENT-001,HR,Professional/Mid-level,KPI-COM-ATT,Attendance and Punctuality,ATTENDANCE,8,Individual,HIGHER_BETTER,90.0,95.0,99.0,Yes,No,2025-09-01,,Active
PT-HR-PROFESSIONAL,DEPARTMENT-001,HR,Professional/Mid-level,KPI-COM-RESP,Responsibility and Deadline Discipline,RESPONSIBILITY,7,Individual,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-HR-PROFESSIONAL,DEPARTMENT-001,HR,Professional/Mid-level,KPI-COM-TEAM,Teamwork and Professional Communication,TEAMWORK,5,Individual,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-HR-PROFESSIONAL,DEPARTMENT-001,HR,Professional/Mid-level,KPI-COM-LEARN,Learning and Adaptability,LEARNING,5,Individual,HIGHER_BETTER,60.0,82.0,95.0,Yes,No,2025-09-01,,Active
