Cost_Center_ID,Cost_Center_Name,Department_ID,Department_Name,Business_Unit_Name,Budget_Owner_Employee_ID,Currency,Active_Status,Effective_Start_Date,Effective_End_Date
COST-CENTER-HR,HR Cost Center,DEPARTMENT-001,HR,Corporate Services,EMP201,PKR,Active,2024-01-01,
COST-CENTER-FIN,Finance Cost Center,DEPARTMENT-002,Finance,Corporate Services,EMP227,PKR,Active,2024-01-01,
COST-CENTER-SAL,Sales Cost Center,DEPARTMENT-003,Sales,Commercial Services,EMP252,PKR,Active,2024-01-01,
COST-CENTER-CS,Customer Support Cost Center,DEPARTMENT-004,Customer Support,Commercial Services,EMP259,PKR,Active,2024-01-01,
COST-CENTER-ENG,Engineering Cost Center,DEPARTMENT-005,Engineering,Technology and Innovation,EMP268,PKR,Active,2024-01-01,
COST-CENTER-OPS,Operations Cost Center,DEPARTMENT-006,Operations,Enterprise Operations,EMP277,PKR,Active,2024-01-01,
COST-CENTER-IT,IT Cost Center,DEPARTMENT-007,IT,Technology and Innovation,EMP292,PKR,Active,2024-01-01,
COST-CENTER-MED,Medical Care Cost Center,DEPARTMENT-008,Medical Care,Healthcare Services,EMP316,PKR,Active,2024-01-01,
COST-CENTER-TRN,Training & Development Cost Center,DEPARTMENT-009,Training & Development,Learning Services,EMP361,PKR,Active,2024-01-01,
COST-CENTER-ADM,Administration & Facilities Cost Center,DEPARTMENT-010,Administration & Facilities,Corporate Services,EMP406,PKR,Active,2024-01-01,
COST-CENTER-LGL,Legal & Compliance Cost Center,DEPARTMENT-011,Legal & Compliance,Corporate Services,EMP451,PKR,Active,2024-01-01,
COST-CENTER-PRC,Procurement & Supply Chain Cost Center,DEPARTMENT-012,Procurement & Supply Chain,Enterprise Operations,EMP496,PKR,Active,2024-01-01,
COST-CENTER-LOG,Logistics & Warehouse Cost Center,DEPARTMENT-013,Logistics & Warehouse,Enterprise Operations,EMP541,PKR,Active,2024-01-01,
COST-CENTER-PRD,Production & Manufacturing Cost Center,DEPARTMENT-014,Production & Manufacturing,Industrial Operations,EMP586,PKR,Active,2024-01-01,
COST-CENTER-QAS,Quality Assurance Cost Center,DEPARTMENT-015,Quality Assurance,Industrial Operations,EMP631,PKR,Active,2024-01-01,
COST-CENTER-RND,Research & Development Cost Center,DEPARTMENT-016,Research & Development,Technology and Innovation,EMP676,PKR,Active,2024-01-01,
