Process_Code,Field_Order,Field_Key,Field_Label,Field_Type,Required,Lookup_Source,Validation_Rule,Default_Source,Notes
PROB_CONFIRM,1,employee_id,Employee,employee_lookup,Yes,Employee_Profile.csv,Must exist in current 720 Employee_ID set,,Reuse existing employee lookup; never create a second employee master.
PROB_CONFIRM,2,effective_date,Confirmation effective date,date,Yes,,>= Hire_Date and <= action horizon,,Date employee becomes Active.
PROB_CONFIRM,3,decision,Decision,enum,Yes,,CONFIRM only for this process,CONFIRM,Explicit action code.
PROB_CONFIRM,4,note,HR note,text,No,,Max 500 chars,,Audit note.
PROB_EXTEND,1,employee_id,Employee,employee_lookup,Yes,Employee_Profile.csv,Must exist in current 720 Employee_ID set,,Reuse existing employee lookup; never create a second employee master.
PROB_EXTEND,2,effective_date,Extension effective date,date,Yes,,>= original probation end,,Date extension starts.
PROB_EXTEND,3,extension_months,Extension period (months),integer,Yes,,"1, 2, or 3",,Short controlled extension only.
PROB_EXTEND,4,extension_reason,Extension reason,enum,Yes,,PERFORMANCE_REVIEW | ATTENDANCE_REVIEW | MANAGER_REVIEW | DOCUMENTATION,,Structured reason for analytics.
PROB_EXTEND,5,note,HR note,text,No,,Max 500 chars,,Audit note.
CONTRACT_RENEW,1,employee_id,Employee,employee_lookup,Yes,Employee_Profile.csv,Must exist in current 720 Employee_ID set,,Reuse existing employee lookup; never create a second employee master.
CONTRACT_RENEW,2,effective_date,Renewal effective date,date,Yes,,Must be on/after current contract end,,Start of renewed term.
CONTRACT_RENEW,3,new_end_date,New contract end date,date,Yes,,Must be > effective_date,,Future contract expiry.
CONTRACT_RENEW,4,renewal_term_months,Renewal term (months),integer,Yes,,"6, 12, or 24",,Used for validation.
CONTRACT_RENEW,5,note,HR note,text,No,,Max 500 chars,,Audit note.
REHIRE,1,employee_id,Employee,employee_lookup,Yes,Employee_Profile.csv,Must exist in current 720 Employee_ID set,,Rehire history is additive; no second employee master.
REHIRE,2,effective_date,Rehire effective date,date,Yes,,Must be after prior service/exit date when available,,Date employee re-enters active service.
REHIRE,3,target_department_id,Department,department_lookup,Yes,Department_Master.csv,Active department only,Employee_Profile.Department_ID,Demo may reuse current department for historical rehire records.
REHIRE,4,target_position_id,Position,position_lookup,Yes,Position_Master.csv,Approved position; current position allowed for historical applied record,Employee_Profile.Position_ID,For future rehire execution target should be available.
REHIRE,5,rehire_reason,Rehire reason,enum,Yes,,RETURNING_TALENT | CRITICAL_SKILL | BUSINESS_NEED | FORMER_HIGH_PERFORMER,,Structured analytics category.
REHIRE,6,note,HR note,text,No,,Max 500 chars,,Audit note.
CONTRACT_END,1,employee_id,Employee,employee_lookup,Yes,Employee_Profile.csv,Employment_Type must be Contract,,Only current contract employees.
CONTRACT_END,2,effective_date,Contract end date,date,Yes,,Should equal or precede current operational contract end only with reason,Employee_HR_Operational_State.Contract_Current_End_Date,Becomes the planned exit date.
CONTRACT_END,3,end_reason,End / non-renewal reason,enum,Yes,,CONTRACT_COMPLETION | PROJECT_END | PERFORMANCE | WORKFORCE_PLAN | EMPLOYEE_REQUEST,,Structured reason.
CONTRACT_END,4,settlement_required,Final settlement required,boolean,Yes,,Yes/No,Yes,Creates or links a final-settlement action later.
CONTRACT_END,5,note,HR note,text,No,,Max 500 chars,,Audit note.
RESIGNATION,1,employee_id,Employee,employee_lookup,Yes,Employee_Profile.csv,Must exist in current 720 Employee_ID set,,Reuse existing employee lookup; never create a second employee master.
RESIGNATION,2,notice_date,Notice date,date,Yes,,<= effective_date,,Notice received date.
RESIGNATION,3,effective_date,Last working date,date,Yes,,> notice_date,,Core changes only on this date.
RESIGNATION,4,resignation_reason,Reason category,enum,Yes,,CAREER_OPPORTUNITY | PERSONAL | RELOCATION | ROLE_GROWTH,,Structured for analytics.
RESIGNATION,5,note,HR note,text,No,,Max 500 chars,,Audit note.
RESIGN_WITHDRAW,1,employee_id,Employee,employee_lookup,Yes,Employee_Profile.csv,Must have a scheduled resignation,,Same employee as source resignation.
RESIGN_WITHDRAW,2,resignation_action_record_id,Resignation reference,action_record_lookup,Yes,HR_Action_Records.csv,Must reference active scheduled RESIGNATION action,,Explicit reversal link.
RESIGN_WITHDRAW,3,effective_date,Withdrawal date,date,Yes,,Must be before resignation effective date,,Cancellation takes effect immediately.
RESIGN_WITHDRAW,4,withdrawal_reason,Withdrawal reason,enum,Yes,,RETENTION_AGREED | ROLE_CHANGE | PERSONAL_CIRCUMSTANCES_RESOLVED | COUNTEROFFER_ACCEPTED,,Structured retention analytics.
RESIGN_WITHDRAW,5,note,HR note,text,No,,Max 500 chars,,Audit note.
RETIREMENT,1,employee_id,Employee,employee_lookup,Yes,Employee_Profile.csv,Must exist in current 720 Employee_ID set,,Reuse existing employee lookup; never create a second employee master.
RETIREMENT,2,effective_date,Retirement date,date,Yes,,Must align to planned retirement date unless overridden,,Planned exit date.
RETIREMENT,3,retirement_type,Retirement type,enum,Yes,,NORMAL | EARLY | EXTENDED_SERVICE,NORMAL,Demo starts with normal retirement.
RETIREMENT,4,note,HR note,text,No,,Max 500 chars,,Audit note.
TERMINATION,1,employee_id,Employee,employee_lookup,Yes,Employee_Profile.csv,Must exist in current 720 Employee_ID set,,Reuse existing employee lookup; never create a second employee master.
TERMINATION,2,effective_date,Termination effective date,date,Yes,,>= recorded date,,Core changes only on this date.
TERMINATION,3,termination_category,Termination category,enum,Yes,,PERFORMANCE_OUTCOME | ATTENDANCE_DISCIPLINE | POLICY_OUTCOME,,Structured category; no free-form-only reason.
