Rule_ID,Rule_Name,Rule_Scope,Department_ID,Metric_Name,Comparison_Operator,Threshold_Value,Severity,Rule_Description,Effective_Start_Date,Effective_End_Date
RULE-001,Approved Headcount Limit,All Departments,,Actual Employee Count,Must not exceed,Approved Position Count,Critical,Actual employees should not exceed the approved establishment unless a documented temporary exception exists.,2024-01-01,
RULE-002,Budgeted Headcount Limit,All Departments,,Actual Employee Count,Must not exceed,Budgeted Position Count,Warning,Actual employees should remain within funded headcount unless finance approves an exception.,2024-01-01,
RULE-003,Long Vacancy Alert,All Departments,,Vacancy Age in Days,Greater than,90,Warning,Open positions older than 90 days require management review.,2024-01-01,
RULE-004,Critical Vacancy Escalation,All Departments,,Critical Vacancy Age in Days,Greater than,60,Critical,Critical positions open more than 60 days require executive escalation.,2024-01-01,
RULE-005,Budget Utilization Watch,All Departments,,Budget Utilization Percentage,Greater than,92,Warning,People cost utilization above 92 percent requires forecast review.,2024-01-01,
RULE-006,Intern Supervision Requirement,All Departments,,Intern to Senior or Manager Ratio,Less than or equal to,3 interns per senior or manager,Warning,Every group of three interns should have at least one senior employee or manager available for supervision.,2024-01-01,
RULE-007,Medical Staffing Coverage,Department,DEPARTMENT-008,Available medical employees per shift,Greater than or equal to,12,Critical,Department-specific workforce planning rule for Medical Care.,2024-01-01,
RULE-008,Trainer Capacity Ratio,Department,DEPARTMENT-009,Training enrollments per trainer,Less than or equal to,25,Warning,Department-specific workforce planning rule for Training & Development.,2024-01-01,
RULE-009,Support Coverage Ratio,Department,DEPARTMENT-004,Support tickets per available employee,Less than or equal to,90,Warning,Department-specific workforce planning rule for Customer Support.,2024-01-01,
RULE-010,Critical Skill Coverage,Department,DEPARTMENT-005,Critical roles with ready successor,Greater than or equal to,80 percent,Warning,Department-specific workforce planning rule for Engineering.,2024-01-01,
RULE-011,Operational Shift Coverage,Department,DEPARTMENT-006,Available operations employees per active shift,Greater than or equal to,14,Critical,Department-specific workforce planning rule for Operations.,2024-01-01,
RULE-012,Warehouse Shift Coverage,Department,DEPARTMENT-013,Available logistics employees per active shift,Greater than or equal to,13,Critical,Department-specific workforce planning rule for Logistics & Warehouse.,2024-01-01,
RULE-013,Production Line Coverage,Department,DEPARTMENT-014,Available production employees per active line,Greater than or equal to,10,Critical,Department-specific workforce planning rule for Production & Manufacturing.,2024-01-01,
RULE-014,Quality Coverage Ratio,Department,DEPARTMENT-015,Quality employees per active production line,Greater than or equal to,3,Critical,Department-specific workforce planning rule for Quality Assurance.,2024-01-01,
RULE-015,Sales Capacity Coverage,Department,DEPARTMENT-003,Actual sales employees as percentage of approved positions,Greater than or equal to,92 percent,Warning,Department-specific workforce planning rule for Sales.,2024-01-01,
RULE-016,Research Capacity Coverage,Department,DEPARTMENT-016,Actual research employees as percentage of approved positions,Greater than or equal to,88 percent,Warning,Department-specific workforce planning rule for Research & Development.,2024-01-01,
RULE-017,Technology Support Coverage,Department,DEPARTMENT-007,Available technology employees as percentage of actual employees,Greater than or equal to,90 percent,Warning,Department-specific workforce planning rule for IT.,2024-01-01,
RULE-018,Finance Close Coverage,Department,DEPARTMENT-002,Available finance employees during closing period,Greater than or equal to,90 percent,Warning,Department-specific workforce planning rule for Finance.,2024-01-01,
RULE-019,Employee Service Coverage,Department,DEPARTMENT-001,Actual human resources employees per one hundred employees,Greater than or equal to,5,Information,Department-specific workforce planning rule for HR.,2024-01-01,
RULE-020,Compliance Case Capacity,Department,DEPARTMENT-011,Open compliance cases per professional employee,Less than or equal to,12,Warning,Department-specific workforce planning rule for Legal & Compliance.,2024-01-01,
RULE-021,Procurement Workload Capacity,Department,DEPARTMENT-012,Purchase orders per procurement employee,Less than or equal to,22,Warning,Department-specific workforce planning rule for Procurement & Supply Chain.,2024-01-01,
RULE-022,Facilities Service Capacity,Department,DEPARTMENT-010,Facility requests per administration employee,Less than or equal to,18,Information,Department-specific workforce planning rule for Administration & Facilities.,2024-01-01,
